episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
247, -8356.148966670036, 2, 32.901157676000366, 1346, 164409,                                             164409, 0.0, 2507.9658203125
248, -997.2464236915112, 1, 24.883592813999712, 1030, 165439,                                             165439, 0.0, 2246.6640625
249, -3498.819237947464, 2, 3.7280305260001114, 144, 165583,                                             165583, 0.0, 2543.371337890625
250, -3640.079478561878, 3, 13.591446024000106, 549, 166132,                                             166132, 0.0, 2566.616455078125
251, -1118.3723170757294, 1, 31.06991569799993, 1282, 167414,                                             167414, 0.0, 2535.446044921875
252, -6570.473656535149, 2, 17.619735686999775, 715, 168129,                                             168129, 0.0, 2371.688720703125
253, -5069.265048623085, 2, 18.030488026000057, 747, 168876,                                             168876, 0.0, 2726.5087890625
254, -8878.322209715843, 2, 31.875949514999775, 1302, 170178,                                             170178, 0.0, 2241.7353515625
255, -3747.282167315483, 2, 11.185005165000803, 453, 170631,                                             170631, 0.0, 2182.619873046875
256, 1520.857092678547, 1, 11.599850908000008, 469, 171100,                                             171100, 0.0, 2511.3623046875
257, -3798.4578552246094, 2, 3.933546508999825, 146, 171246,                                             171246, 0.0, 2526.837158203125
258, 1757.4316014647484, 1, 10.182027159999961, 415, 171661,                                             171661, 0.0, 2427.22216796875
259, -3265.6434940099716, 2, 4.522435263000261, 174, 171835,                                             171835, 0.0, 3844.39501953125
260, -5236.274050712585, 3, 16.02990869399946, 662, 172497,                                             172497, 0.0, 2444.0263671875
261, -4916.04578524828, 2, 10.965552095999556, 460, 172957,                                             172957, 0.0, 2071.5615234375
262, -6760.173796653748, 2, 20.014429427999858, 819, 173776,                                             173776, 0.0, 2184.62158203125
263, -5343.993379831314, 2, 15.62234898800034, 643, 174419,                                             174419, 0.0, 2427.978759765625
264, -5777.955040097237, 2, 16.999988683000083, 688, 175107,                                             175107, 0.0, 2342.662109375
265, -6066.946594715118, 3, 15.829859954999847, 654, 175761,                                             175761, 0.0, 2505.734130859375
266, -4722.944554567337, 3, 11.589946948000033, 471, 176232,                                             176232, 0.0, 2389.187744140625
267, -5641.206550717354, 2, 14.398059411000759, 572, 176804,                                             176804, 0.0, 2200.131103515625
268, -4623.605880975723, 2, 10.371878002999438, 425, 177229,                                             177229, 0.0, 2533.406494140625
269, -5488.477764010429, 2, 19.013298853999913, 771, 178000,                                             178000, 0.0, 2553.61181640625
270, -5040.195341765881, 2, 18.827309118000812, 765, 178765,                                             178765, 0.0, 2425.05517578125
271, 1379.9625548422337, 1, 10.338347826000245, 424, 179189,                                             179189, 0.0, 2198.5009765625
272, -2839.5561417341232, 2, 5.318757846999688, 209, 179398,                                             179398, 0.0, 2570.270751953125
273, -4348.97624206543, 2, 8.965372589000253, 358, 179756,                                             179756, 0.0, 2900.152099609375
274, -4230.330660760403, 2, 10.583585359000608, 432, 180188,                                             180188, 0.0, 2390.597412109375
